time,CO2_ppm,CO2_2_ppm,O2_percent,temperature_C,OD_Trx_V,OD_Sct_V
920.0149345397949,3150.0,4390.0,20.87,36.625,3.7065624999999995,0.17041964285714287
925.0150210857391,3140.0,4330.0,20.87,36.625,3.7254642857142857,0.16508035714285715
930.0151038169861,3130.0,4320.0,20.87,36.625,3.710223214285714,0.17016964285714287
935.015175819397,3120.0,4310.0,20.88,36.687,3.706946428571429,0.17450000000000004
940.0152506828308,3110.0,4270.0,20.88,36.687,3.6992499999999997,0.17059821428571428
945.0153467655182,3090.0,4250.0,20.88,36.687,3.7409999999999997,0.17338392857142854
950.0154321193695,3070.0,4240.0,20.88,36.75,3.729365384615385,0.17134615384615387
955.0155100822449,3050.0,4210.0,20.87,36.75,3.7020000000000004,0.17208035714285713
960.0155787467957,3030.0,4200.0,20.88,36.75,3.6916875000000005,0.17380357142857145
965.0156564712524,3010.0,4120.0,20.88,36.75,3.711089285714286,0.17605357142857145
970.0157532691956,3000.0,4100.0,20.88,36.75,3.6718124999999993,0.16657142857142862
975.0158307552338,2990.0,4100.0,20.88,36.687,3.7022857142857144,0.17451785714285714
980.0159232616425,2990.0,4110.0,20.88,36.687,3.7070089285714283,0.16839285714285718
985.0160038471222,2980.0,4100.0,20.88,36.687,3.678192307692308,0.1694230769230769
990.0161154270172,2970.0,4090.0,20.87,36.687,3.6902946428571433,0.17411607142857144
995.0161776542664,2960.0,4060.0,20.88,36.687,3.711973214285714,0.16886607142857143
1000.0162508487701,2950.0,4020.0,20.87,36.687,3.7085178571428563,0.17364285714285713
1005.0163350105286,2940.0,3990.0,20.87,36.687,3.6969017857142856,0.16818750000000002
1010.0164210796356,2920.0,3980.0,20.87,36.687,3.701375,0.16949107142857142
1015.0165042877197,2900.0,3970.0,20.87,36.687,3.6939732142857147,0.16851785714285714
1020.016574382782,2880.0,3950.0,20.88,36.687,3.6875178571428573,0.16948214285714286
1025.0166594982147,2860.0,3940.0,20.88,36.687,3.708580357142857,0.16975892857142855
1030.0167365074158,2850.0,3930.0,20.88,36.687,3.6901696428571427,0.1663035714285714
1035.0168192386627,2840.0,3920.0,20.88,36.687,3.710678571428571,0.16760714285714284
